productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extCost,extPitchValue,extDefenseValue,extCardSubType,extPower
561292,Hand Behind the Pen,Hand Behind the Pen,https://tcgplayer-cdn.tcgplayer.com/product/561292_200w.jpg,62,23540,https://cpt.tcgcsv.com/Swv6,2024-09-20T04:08:44,1,0.13,0.34,1.89,0.3,,Rainbow Foil,Rare,ROS220,Action,Generic,,,,2,1,2,Attack,6
561293,Smash Up,Smash Up,https://tcgplayer-cdn.tcgplayer.com/product/561293_200w.jpg,62,23540,https://cpt.tcgcsv.com/Twv6,2024-09-20T04:08:44,1,0.2,0.54,2.99,0.42,,Rainbow Foil,Rare,ROS221,Action,Generic,,,,1,1,2,Attack,5
561293,Smash Up,Smash Up,https://tcgplayer-cdn.tcgplayer.com/product/561293_200w.jpg,62,23540,https://cpt.tcgcsv.com/Twv6,2024-09-20T04:08:44,1,0.07,0.33,1.49,0.33,,Normal,Rare,ROS221,Action,Generic,,,,1,1,2,Attack,5
561294,Tongue Tied,Tongue Tied,https://tcgplayer-cdn.tcgplayer.com/product/561294_200w.jpg,62,23540,https://cpt.tcgcsv.com/Vwv6,2024-09-20T04:08:44,1,0.05,0.3,1.37,0.22,,Rainbow Foil,Rare,ROS222,Action,Generic,,,,3,1,2,Attack,7
561294,Tongue Tied,Tongue Tied,https://tcgplayer-cdn.tcgplayer.com/product/561294_200w.jpg,62,23540,https://cpt.tcgcsv.com/Vwv6,2024-09-20T04:08:44,1,0.01,0.25,1.39,0.06,,Normal,Rare,ROS222,Action,Generic,,,,3,1,2,Attack,7
561295,"Oscilio, Constella Intelligence (Marvel)",Oscilio Constella Intelligence Marvel,https://tcgplayer-cdn.tcgplayer.com/product/561295_200w.jpg,62,23540,https://cpt.tcgcsv.com/Wwv6,2024-09-20T04:08:44,2,146.24,161.99,250.0,139.35,,Cold Foil,Marvel,ROS019,Hero,Wizard,Lightning,4,36,,,,,
561296,"Aurora, Shooting Star (Marvel)",Aurora Shooting Star Marvel,https://tcgplayer-cdn.tcgplayer.com/product/561296_200w.jpg,62,23540,https://cpt.tcgcsv.com/Xwv6,2024-09-20T04:08:44,2,45.0,55.13,165.0,47.39,,Cold Foil,Marvel,ROS007,Hero,Runeblade,Elemental,4,40,,,,,
561297,"Verdance, Thorn of the Rose (Marvel)",Verdance Thorn of the Rose Marvel,https://tcgplayer-cdn.tcgplayer.com/product/561297_200w.jpg,62,23540,https://cpt.tcgcsv.com/Zwv6,2024-09-20T04:08:44,2,157.02,208.25,239.99,204.31,,Cold Foil,Marvel,ROS013,Hero,Wizard,Elemental,4,40,,,,,
563797,Sigil of Conductivity,Sigil of Conductivity,https://tcgplayer-cdn.tcgplayer.com/product/563797_200w.jpg,62,23540,https://cpt.tcgcsv.com/Zww6,2024-09-20T04:08:44,1,0.05,0.25,1.0,0.16,,Normal,Rare,ROS088,Instant,,Lightning,,,0,3,,Aura,
563798,Sigil of the Arknight,Sigil of the Arknight,https://tcgplayer-cdn.tcgplayer.com/product/563798_200w.jpg,62,23540,https://cpt.tcgcsv.com/-ww6,2024-09-20T04:08:44,1,0.04,0.25,1.43,0.13,,Normal,Rare,ROS133,Action,Runeblade,,,,0,3,,Aura,
