productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extDefenseValue,extCost,extPitchValue,extPower,extIntellect,extLife,extFlavorText
271129,Read the Runes (Red),Read the Runes Red,https://tcgplayer-cdn.tcgplayer.com/product/271129_200w.jpg,62,3053,https://cpt.tcgcsv.com/Csb3,2022-05-06T10:11:15.2,1,0.1,0.22,1.03,0.19,,Normal,Common,1HP294,Action,,Runeblade,2,0,1,,,,
271130,Pummel (Yellow),Pummel Yellow,https://tcgplayer-cdn.tcgplayer.com/product/271130_200w.jpg,62,3053,https://cpt.tcgcsv.com/Dsb3,2022-05-06T10:10:24.243,1,0.05,0.24,1.43,0.18,,Normal,Common,1HP400,Attack Reaction,,Generic,2,2,2,,,,
271131,Courage of Bladehold,Courage of Bladehold,https://tcgplayer-cdn.tcgplayer.com/product/271131_200w.jpg,62,3053,https://cpt.tcgcsv.com/Fsb3,2025-03-13T19:27:37.007,1,2.28,2.9,15.0,2.72,,Normal,Majestic,1HP146,Equipment,Chest,Warrior,2,,,,,,
271132,Read the Runes (Yellow),Read the Runes Yellow,https://tcgplayer-cdn.tcgplayer.com/product/271132_200w.jpg,62,3053,https://cpt.tcgcsv.com/Gsb3,2022-05-06T10:11:31.617,1,0.05,0.2,1.43,0.15,,Normal,Common,1HP295,Action,,Runeblade,2,0,2,,,,
271133,Pummel (Blue),Pummel Blue,https://tcgplayer-cdn.tcgplayer.com/product/271133_200w.jpg,62,3053,https://cpt.tcgcsv.com/Hsb3,2024-12-11T21:18:19.063,1,0.15,0.25,1.53,0.24,,Normal,Common,1HP401,Attack Reaction,,Generic,2,2,3,,,,
271134,Glint the Quicksilver,Glint the Quicksilver,https://tcgplayer-cdn.tcgplayer.com/product/271134_200w.jpg,62,3053,https://cpt.tcgcsv.com/Jsb3,2022-05-06T10:00:08.93,1,2.5,4.5,11.99,3.61,,Normal,Majestic,1HP147,Attack Reaction,,Warrior,3,0,3,,,,
271135,Read the Runes (Blue),Read the Runes Blue,https://tcgplayer-cdn.tcgplayer.com/product/271135_200w.jpg,62,3053,https://cpt.tcgcsv.com/Ksb3,2022-05-06T10:11:10.48,1,0.05,0.19,1.43,0.05,,Normal,Common,1HP296,Action,,Runeblade,2,0,3,,,,
271136,Rout,Rout,https://tcgplayer-cdn.tcgplayer.com/product/271136_200w.jpg,62,3053,https://cpt.tcgcsv.com/Lsb3,2022-05-06T10:17:04.407,1,0.15,0.62,5.0,0.37,,Normal,Majestic,1HP148,Attack Reaction,,Warrior,3,2,1,,,,
271137,Sutcliffe's Research Notes (Red),Sutcliffes Research Notes Red,https://tcgplayer-cdn.tcgplayer.com/product/271137_200w.jpg,62,3053,https://cpt.tcgcsv.com/Msb3,2025-03-13T18:21:12.23,1,0.05,0.2,1.43,0.09,,Normal,Common,1HP297,Action,,Runeblade,2,1,1,,,,
271138,Razor Reflex (Red),Razor Reflex Red,https://tcgplayer-cdn.tcgplayer.com/product/271138_200w.jpg,62,3053,https://cpt.tcgcsv.com/Nsb3,2022-05-06T10:11:05.993,1,0.15,0.33,4.04,0.28,,Normal,Common,1HP402,Attack Reaction,,Generic,2,1,1,,,,
271139,Singing Steelblade,Singing Steelblade,https://tcgplayer-cdn.tcgplayer.com/product/271139_200w.jpg,62,3053,https://cpt.tcgcsv.com/Psb3,2022-05-06T10:22:57.223,1,0.33,0.73,4.99,0.58,,Normal,Majestic,1HP149,Attack Reaction,,Warrior,3,1,2,,,,
271140,Nock the Deathwhistle,Nock the Deathwhistle,https://tcgplayer-cdn.tcgplayer.com/product/271140_200w.jpg,62,3053,https://cpt.tcgcsv.com/Qsb3,2022-05-06T10:06:18.753,1,0.1,0.49,4.99,0.36,,Normal,Majestic,1HP231,Action,,Ranger,3,0,3,,,,
271141,Three of a Kind,Three of a Kind,https://tcgplayer-cdn.tcgplayer.com/product/271141_200w.jpg,62,3053,https://cpt.tcgcsv.com/Rsb3,2025-03-03T22:13:33.05,1,0.45,2.93,20.0,1.45,,Normal,Majestic,1HP232,Action,,Ranger,2,1,1,,,,"<em>""Finally. Time to take out the trash."" - Azalea</em>"
271142,Sutcliffe's Research Notes (Yellow),Sutcliffes Research Notes Yellow,https://tcgplayer-cdn.tcgplayer.com/product/271142_200w.jpg,62,3053,https://cpt.tcgcsv.com/Ssb3,2025-03-13T18:21:05.043,1,0.05,0.19,1.46,,,Normal,Common,1HP298,Action,,Runeblade,2,1,2,,,,
271143,Razor Reflex (Yellow),Razor Reflex Yellow,https://tcgplayer-cdn.tcgplayer.com/product/271143_200w.jpg,62,3053,https://cpt.tcgcsv.com/Tsb3,2022-05-06T10:11:06.58,1,0.05,0.15,1.43,0.1,,Normal,Common,1HP403,Attack Reaction,,Generic,2,1,2,,,,
