productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardSubType,extClass,extCost,extPitchValue,extTalent,extPower,extDefenseValue,extIntellect,extLife
653383,Unexpected Backhand (Yellow),Unexpected Backhand Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653383_200w.jpg,62,24371,https://cpt.tcgcsv.com/Hmf7,2026-06-01T19:45:42.007,1,Common,SUP162,0.02,0.2,25.0,0.12,,Normal,,,,,,,,,,
653384,Unexpected Backhand (Blue),Unexpected Backhand Blue,https://tcgplayer-cdn.tcgplayer.com/product/653384_200w.jpg,62,24371,https://cpt.tcgcsv.com/Jmf7,2026-06-01T19:45:42.117,1,Common,SUP163,0.01,0.15,1.31,0.11,,Normal,,,,,,,,,,
653384,Unexpected Backhand (Blue),Unexpected Backhand Blue,https://tcgplayer-cdn.tcgplayer.com/product/653384_200w.jpg,62,24371,https://cpt.tcgcsv.com/Jmf7,2026-06-01T19:45:42.117,1,Common,SUP163,0.18,0.34,4.99,0.36,,Rainbow Foil,,,,,,,,,,
653385,Act of Glory (Red),Act of Glory Red,https://tcgplayer-cdn.tcgplayer.com/product/653385_200w.jpg,62,24371,https://cpt.tcgcsv.com/Kmf7,2026-06-01T19:45:48.207,1,Common,SUP195,0.01,0.15,1.34,0.1,,Normal,,,,,,,,,,
653385,Act of Glory (Red),Act of Glory Red,https://tcgplayer-cdn.tcgplayer.com/product/653385_200w.jpg,62,24371,https://cpt.tcgcsv.com/Kmf7,2026-06-01T19:45:48.207,1,Common,SUP195,0.1,0.44,4.99,0.44,,Rainbow Foil,,,,,,,,,,
653386,Edge of Their Seats (Red),Edge of Their Seats Red,https://tcgplayer-cdn.tcgplayer.com/product/653386_200w.jpg,62,24371,https://cpt.tcgcsv.com/Lmf7,2026-06-01T19:45:49.293,1,Common,SUP201,0.01,0.15,0.75,0.09,,Normal,,,,,,,,,,
653386,Edge of Their Seats (Red),Edge of Their Seats Red,https://tcgplayer-cdn.tcgplayer.com/product/653386_200w.jpg,62,24371,https://cpt.tcgcsv.com/Lmf7,2026-06-01T19:45:49.293,1,Common,SUP201,0.1,0.39,4.99,0.39,,Rainbow Foil,,,,,,,,,,
653387,Act of Glory (Yellow),Act of Glory Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653387_200w.jpg,62,24371,https://cpt.tcgcsv.com/Mmf7,2026-06-01T19:45:48.31,1,Common,SUP196,0.16,0.25,4.99,0.2,,Rainbow Foil,,,,,,,,,,
653387,Act of Glory (Yellow),Act of Glory Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653387_200w.jpg,62,24371,https://cpt.tcgcsv.com/Mmf7,2026-06-01T19:45:48.31,1,Common,SUP196,0.01,0.15,1.31,0.15,,Normal,,,,,,,,,,
653388,Edge of Their Seats (Yellow),Edge of Their Seats Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653388_200w.jpg,62,24371,https://cpt.tcgcsv.com/Nmf7,2026-06-01T19:45:49.403,1,Common,SUP202,0.01,0.15,1.31,0.14,,Normal,,,,,,,,,,
653388,Edge of Their Seats (Yellow),Edge of Their Seats Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653388_200w.jpg,62,24371,https://cpt.tcgcsv.com/Nmf7,2026-06-01T19:45:49.403,1,Common,SUP202,0.1,0.25,4.99,0.15,,Rainbow Foil,,,,,,,,,,
653389,Act of Glory (Blue),Act of Glory Blue,https://tcgplayer-cdn.tcgplayer.com/product/653389_200w.jpg,62,24371,https://cpt.tcgcsv.com/Pmf7,2026-06-01T19:45:48.42,1,Common,SUP197,0.08,0.36,4.99,0.33,,Rainbow Foil,,,,,,,,,,
653389,Act of Glory (Blue),Act of Glory Blue,https://tcgplayer-cdn.tcgplayer.com/product/653389_200w.jpg,62,24371,https://cpt.tcgcsv.com/Pmf7,2026-06-01T19:45:48.42,1,Common,SUP197,0.01,0.15,1.32,0.09,,Normal,,,,,,,,,,
653390,Edge of Their Seats (Blue),Edge of Their Seats Blue,https://tcgplayer-cdn.tcgplayer.com/product/653390_200w.jpg,62,24371,https://cpt.tcgcsv.com/Qmf7,2026-06-01T19:45:49.513,1,Common,SUP203,0.05,0.3,4.99,0.29,,Rainbow Foil,,,,,,,,,,
653390,Edge of Their Seats (Blue),Edge of Their Seats Blue,https://tcgplayer-cdn.tcgplayer.com/product/653390_200w.jpg,62,24371,https://cpt.tcgcsv.com/Qmf7,2026-06-01T19:45:49.513,1,Common,SUP203,0.01,0.2,1.31,0.13,,Normal,,,,,,,,,,
653405,Cries of Encore,Cries of Encore,https://tcgplayer-cdn.tcgplayer.com/product/653405_200w.jpg,62,24371,https://cpt.tcgcsv.com/7nf7,2026-06-01T19:45:23.3,1,Majestic,SUP012,0.49,1.69,22.32,1.12,,Normal,,,,,,,,,,
653406,Cries of Encore (Extended Art),Cries of Encore Extended Art,https://tcgplayer-cdn.tcgplayer.com/product/653406_200w.jpg,62,24371,https://cpt.tcgcsv.com/8nf7,2026-06-01T19:45:23.377,1,Majestic,SUP012,15.65,25.0,180.0,26.82,,Cold Foil,,,,,,,,,,
653407,Turning Point,Turning Point,https://tcgplayer-cdn.tcgplayer.com/product/653407_200w.jpg,62,24371,https://cpt.tcgcsv.com/9nf7,2026-06-01T19:45:23.597,1,Super Rare,SUP015,0.05,0.58,10.0,0.36,,Rainbow Foil,,,,,,,,,,
653407,Turning Point,Turning Point,https://tcgplayer-cdn.tcgplayer.com/product/653407_200w.jpg,62,24371,https://cpt.tcgcsv.com/9nf7,2026-06-01T19:45:23.597,1,Super Rare,SUP015,0.04,0.27,5.25,0.26,,Normal,,,,,,,,,,
653408,A Good Clean Fight,A Good Clean Fight,https://tcgplayer-cdn.tcgplayer.com/product/653408_200w.jpg,62,24371,https://cpt.tcgcsv.com/bnf7,2026-06-01T19:45:24.053,1,Super Rare,SUP021,0.08,0.4,7.69,0.25,,Normal,,,,,,,,,,
653408,A Good Clean Fight,A Good Clean Fight,https://tcgplayer-cdn.tcgplayer.com/product/653408_200w.jpg,62,24371,https://cpt.tcgcsv.com/bnf7,2026-06-01T19:45:24.053,1,Super Rare,SUP021,0.1,0.58,19.99,0.46,,Rainbow Foil,,,,,,,,,,
653409,Renounce Violence,Renounce Violence,https://tcgplayer-cdn.tcgplayer.com/product/653409_200w.jpg,62,24371,https://cpt.tcgcsv.com/cnf7,2026-06-01T19:45:24.333,1,Super Rare,SUP025,0.05,0.3,5.0,0.2,,Normal,,,,,,,,,,
653409,Renounce Violence,Renounce Violence,https://tcgplayer-cdn.tcgplayer.com/product/653409_200w.jpg,62,24371,https://cpt.tcgcsv.com/cnf7,2026-06-01T19:45:24.333,1,Super Rare,SUP025,0.15,0.59,39.99,0.28,,Rainbow Foil,,,,,,,,,,
653410,Never Give Up,Never Give Up,https://tcgplayer-cdn.tcgplayer.com/product/653410_200w.jpg,62,24371,https://cpt.tcgcsv.com/dnf7,2026-06-01T19:45:24.397,1,Super Rare,SUP026,0.2,1.0,23.63,0.76,,Rainbow Foil,,,,,,,,,,
653410,Never Give Up,Never Give Up,https://tcgplayer-cdn.tcgplayer.com/product/653410_200w.jpg,62,24371,https://cpt.tcgcsv.com/dnf7,2026-06-01T19:45:24.397,1,Super Rare,SUP026,0.1,0.42,15.99,0.38,,Normal,,,,,,,,,,
653411,No Tall Tales,No Tall Tales,https://tcgplayer-cdn.tcgplayer.com/product/653411_200w.jpg,62,24371,https://cpt.tcgcsv.com/fnf7,2026-06-01T19:45:43.307,1,Majestic,SUP170,0.1,0.5,99.0,0.42,,Normal,,,,,,,,,,
653411,No Tall Tales,No Tall Tales,https://tcgplayer-cdn.tcgplayer.com/product/653411_200w.jpg,62,24371,https://cpt.tcgcsv.com/fnf7,2026-06-01T19:45:43.307,1,Majestic,SUP170,0.6,1.26,29.99,0.66,,Rainbow Foil,,,,,,,,,,
653412,Cut a Long Story Short,Cut a Long Story Short,https://tcgplayer-cdn.tcgplayer.com/product/653412_200w.jpg,62,24371,https://cpt.tcgcsv.com/gnf7,2026-06-01T19:45:43.523,1,Super Rare,SUP172,0.4,1.33,5.17,1.12,,Normal,,,,,,,,,,
653412,Cut a Long Story Short,Cut a Long Story Short,https://tcgplayer-cdn.tcgplayer.com/product/653412_200w.jpg,62,24371,https://cpt.tcgcsv.com/gnf7,2026-06-01T19:45:43.523,1,Super Rare,SUP172,0.85,1.69,19.99,1.19,,Rainbow Foil,,,,,,,,,,
653413,Hungry for More,Hungry for More,https://tcgplayer-cdn.tcgplayer.com/product/653413_200w.jpg,62,24371,https://cpt.tcgcsv.com/hnf7,2026-06-01T19:45:44,1,Super Rare,SUP175,0.2,0.93,19.99,0.87,,Rainbow Foil,,,,,,,,,,
653413,Hungry for More,Hungry for More,https://tcgplayer-cdn.tcgplayer.com/product/653413_200w.jpg,62,24371,https://cpt.tcgcsv.com/hnf7,2026-06-01T19:45:44,1,Super Rare,SUP175,0.1,0.61,5.0,0.48,,Normal,,,,,,,,,,
653414,Turn Heads,Turn Heads,https://tcgplayer-cdn.tcgplayer.com/product/653414_200w.jpg,62,24371,https://cpt.tcgcsv.com/jnf7,2026-06-01T19:45:44.093,1,Super Rare,SUP176,0.09,0.5,10.0,0.36,,Rainbow Foil,,,,,,,,,,
653414,Turn Heads,Turn Heads,https://tcgplayer-cdn.tcgplayer.com/product/653414_200w.jpg,62,24371,https://cpt.tcgcsv.com/jnf7,2026-06-01T19:45:44.093,1,Super Rare,SUP176,0.05,0.3,5.0,0.28,,Normal,,,,,,,,,,
653415,Ironfist Revelation,Ironfist Revelation,https://tcgplayer-cdn.tcgplayer.com/product/653415_200w.jpg,62,24371,https://cpt.tcgcsv.com/knf7,2026-06-01T19:45:42.97,1,Legendary,SUP168,15.0,22.0,25.0,20.37,,Rainbow Foil,,,,,,,,,,
653415,Ironfist Revelation,Ironfist Revelation,https://tcgplayer-cdn.tcgplayer.com/product/653415_200w.jpg,62,24371,https://cpt.tcgcsv.com/knf7,2026-06-01T19:45:42.97,1,Legendary,SUP168,20.99,38.02,120.0,33.21,,Cold Foil,,,,,,,,,,
653837,Disembody,Disembody,https://tcgplayer-cdn.tcgplayer.com/product/653837_200w.jpg,62,24371,https://cpt.tcgcsv.com/Mxf7,2026-06-01T19:45:24.807,1,Rare,SUP031,0.14,0.4,19.99,0.36,,Rainbow Foil,,,,,,,,,,
