productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extPower,extCost,extPitchValue,extDefenseValue
517624,Smack of Reality,Smack of Reality,https://tcgplayer-cdn.tcgplayer.com/product/517624_200w.jpg,62,23295,https://cpt.tcgcsv.com/v396,2023-09-29T04:03:14.773,1,0.1,0.35,1.41,0.24,,Normal,Rare,TCC036,Action,Attack,Guardian,,,9,5,1,3
517628,Crash Down (Red),Crash Down Red,https://tcgplayer-cdn.tcgplayer.com/product/517628_200w.jpg,62,23295,https://cpt.tcgcsv.com/B396,2023-09-29T04:03:14.773,1,0.58,1.23,2.05,0.67,,Normal,Common,TCC037,Action,Aura,Guardian,,,,3,1,3
517629,Earthlore Empowerment (Red),Earthlore Empowerment Red,https://tcgplayer-cdn.tcgplayer.com/product/517629_200w.jpg,62,23295,https://cpt.tcgcsv.com/C396,2023-09-29T04:03:14.773,1,0.5,0.99,3.95,0.56,,Normal,Common,TCC038,Action,Aura,Guardian,,,,3,1,3
517630,Boulder Drop (Yellow),Boulder Drop Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517630_200w.jpg,62,23295,https://cpt.tcgcsv.com/D396,2024-03-06T15:29:18.713,1,0.59,0.65,1.95,0.76,,Normal,Rare,TCC039,Action,Attack,Guardian,,,6,3,2,3
517631,Chokeslam (Yellow),Chokeslam Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517631_200w.jpg,62,23295,https://cpt.tcgcsv.com/F396,2023-09-29T04:03:14.773,1,0.05,0.2,0.69,,,Normal,Common,TCC040,Action,Attack,Guardian,,,7,4,2,3
517632,Disable (Yellow),Disable Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517632_200w.jpg,62,23295,https://cpt.tcgcsv.com/G396,2023-09-29T04:03:14.773,1,0.1,0.25,0.75,,,Normal,Common,TCC041,Action,Attack,Guardian,,,8,5,2,3
517633,Crash Down (Yellow),Crash Down Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517633_200w.jpg,62,23295,https://cpt.tcgcsv.com/H396,2023-09-29T04:03:14.773,1,0.1,0.33,0.69,0.27,,Normal,Common,TCC042,Action,Aura,Guardian,,,,3,2,3
517634,Earthlore Empowerment (Yellow),Earthlore Empowerment Yellow,https://tcgplayer-cdn.tcgplayer.com/product/517634_200w.jpg,62,23295,https://cpt.tcgcsv.com/J396,2023-09-29T04:03:14.773,1,0.17,0.5,0.95,0.2,,Normal,Common,TCC043,Action,Aura,Guardian,,,,3,2,3
517635,Boulder Drop (Blue),Boulder Drop Blue,https://tcgplayer-cdn.tcgplayer.com/product/517635_200w.jpg,62,23295,https://cpt.tcgcsv.com/K396,2024-03-06T15:27:47.62,1,3.24,3.99,7.51,3.26,,Normal,Rare,TCC044,Action,Attack,Guardian,,,5,3,3,3
517637,Chokeslam (Blue),Chokeslam Blue,https://tcgplayer-cdn.tcgplayer.com/product/517637_200w.jpg,62,23295,https://cpt.tcgcsv.com/M396,2023-09-29T04:03:14.773,1,0.1,0.23,0.69,0.18,,Normal,Common,TCC045,Action,Attack,Guardian,,,6,4,3,3
517638,Cranial Crush (Blue),Cranial Crush Blue,https://tcgplayer-cdn.tcgplayer.com/product/517638_200w.jpg,62,23295,https://cpt.tcgcsv.com/N396,2023-09-29T04:03:14.773,1,3.29,4.85,5.97,4.81,,Normal,Common,TCC046,Action,Attack,Guardian,,,8,6,3,3
517639,Disable (Blue),Disable Blue,https://tcgplayer-cdn.tcgplayer.com/product/517639_200w.jpg,62,23295,https://cpt.tcgcsv.com/P396,2023-09-29T04:03:14.773,1,0.19,0.33,0.59,0.28,,Normal,Common,TCC047,Action,Attack,Guardian,,,7,5,3,3
517641,Chivalry,Chivalry,https://tcgplayer-cdn.tcgplayer.com/product/517641_200w.jpg,62,23295,https://cpt.tcgcsv.com/R396,2023-09-29T04:03:14.773,1,0.2,0.31,0.79,0.25,,Normal,Common,TCC048,Block,,Guardian,,,,,3,3
517645,"Melody, Sing-along",Melody Sing along,https://tcgplayer-cdn.tcgplayer.com/product/517645_200w.jpg,62,23295,https://cpt.tcgcsv.com/W396,2023-09-29T04:03:14.773,1,0.65,1.05,14.99,1.1,,Rainbow Foil,Majestic,TCC049,Hero,Young,Bard,4,20,,,,
517647,"Jinglewood, Smash Hit",Jinglewood Smash Hit,https://tcgplayer-cdn.tcgplayer.com/product/517647_200w.jpg,62,23295,https://cpt.tcgcsv.com/Z396,2023-09-29T04:03:14.773,1,0.25,0.83,2.95,0.83,,Cold Foil,Rare,TCC050,Weapon,,Bard,,,2,,,
517652,Nom de Plume,Nom de Plume,https://tcgplayer-cdn.tcgplayer.com/product/517652_200w.jpg,62,23295,https://cpt.tcgcsv.com/3596,2023-09-29T04:03:14.773,1,0.15,0.25,0.75,0.21,,Normal,Rare,TCC051,Equipment,Head,Bard,,,,,,2
517653,Heart-throb,Heart throb,https://tcgplayer-cdn.tcgplayer.com/product/517653_200w.jpg,62,23295,https://cpt.tcgcsv.com/5596,2023-09-29T04:03:14.773,1,0.1,0.25,0.75,0.15,,Normal,Rare,TCC052,Equipment,Chest,Bard,,,,,,0
517654,Fiddle-dee,Fiddle dee,https://tcgplayer-cdn.tcgplayer.com/product/517654_200w.jpg,62,23295,https://cpt.tcgcsv.com/6596,2023-09-29T04:03:14.773,1,0.13,0.24,0.75,0.13,,Normal,Rare,TCC053,Equipment,Arms,Bard,,,,,,0
517655,Quickstep,Quickstep,https://tcgplayer-cdn.tcgplayer.com/product/517655_200w.jpg,62,23295,https://cpt.tcgcsv.com/7596,2023-09-29T04:03:14.773,1,0.1,0.25,0.75,0.15,,Normal,Rare,TCC054,Equipment,Legs,Bard,,,,,,0
517670,Coax a Commotion,Coax a Commotion,https://tcgplayer-cdn.tcgplayer.com/product/517670_200w.jpg,62,23295,https://cpt.tcgcsv.com/q596,2023-09-29T04:03:14.773,1,0.45,0.78,5.0,0.7,,Normal,Majestic,TCC055,Action,Attack,Generic,,,4,0,1,2
517671,Life of the Party,Life of the Party,https://tcgplayer-cdn.tcgplayer.com/product/517671_200w.jpg,62,23295,https://cpt.tcgcsv.com/r596,2023-09-29T04:03:14.773,1,0.16,0.24,0.75,0.29,,Normal,Rare,TCC056,Action,Attack,Generic,,,4,2,1,2
517672,Final Act,Final Act,https://tcgplayer-cdn.tcgplayer.com/product/517672_200w.jpg,62,23295,https://cpt.tcgcsv.com/s596,2023-09-29T04:03:14.773,1,0.25,0.88,2.75,0.44,,Normal,Majestic,TCC057,Action,Attack,Bard,,,1,1,1,3
517675,Interlude (Red),Interlude Red,https://tcgplayer-cdn.tcgplayer.com/product/517675_200w.jpg,62,23295,https://cpt.tcgcsv.com/w596,2023-09-29T04:03:14.773,1,0.12,0.24,0.75,0.17,,Normal,Common,TCC058,Instant,,Bard,,,,0,1,
517723,Sigil of Solace (Red),Sigil of Solace Red,https://tcgplayer-cdn.tcgplayer.com/product/517723_200w.jpg,62,23295,https://cpt.tcgcsv.com/t696,2023-09-29T04:03:14.773,1,0.78,0.86,1.5,0.91,,Normal,Common,TCC059,Instant,,Generic,,,,0,1,
