productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extDefenseValue,extCost,extPitchValue,extPower,extTalent
695896,Path of Same Ends (Red),Path of Same Ends Red,https://tcgplayer-cdn.tcgplayer.com/product/695896_200w.jpg,62,24706,https://cpt.tcgcsv.com/XmB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.35,,,Normal,Common,SBA016,Action,Attack,Runeblade,,,2,0,1,3,
695897,Ravenous Rabble (Red),Ravenous Rabble Red,https://tcgplayer-cdn.tcgplayer.com/product/695897_200w.jpg,62,24706,https://cpt.tcgcsv.com/ZmB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.2,,Normal,Common,SBA017,Action,Attack,Generic,,,2,0,1,5,
695898,Rush of Power (Red),Rush of Power Red,https://tcgplayer-cdn.tcgplayer.com/product/695898_200w.jpg,62,24706,https://cpt.tcgcsv.com/-mB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.35,,,Normal,Common,SBA018,Action,Attack,Runeblade,,,3,0,1,3,
695899,Scar for a Scar (Red),Scar for a Scar Red,https://tcgplayer-cdn.tcgplayer.com/product/695899_200w.jpg,62,24706,https://cpt.tcgcsv.com/_mB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,,,Normal,Common,SBA019,Action,Attack,Generic,,,2,0,1,4,
695900,Second Strike (Red),Second Strike Red,https://tcgplayer-cdn.tcgplayer.com/product/695900_200w.jpg,62,24706,https://cpt.tcgcsv.com/0nB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.2,,Normal,Common,SBA020,Action,Attack,,,,2,0,1,3,Lightning
695901,Snatch (Red),Snatch Red,https://tcgplayer-cdn.tcgplayer.com/product/695901_200w.jpg,62,24706,https://cpt.tcgcsv.com/2nB7,2026-06-05T04:10:28.543,1,1.0,1.1,1.25,1.0,,Normal,Rare,SBA021,Action,Attack,Generic,,,2,0,1,4,
695902,Static Shock (Red),Static Shock Red,https://tcgplayer-cdn.tcgplayer.com/product/695902_200w.jpg,62,24706,https://cpt.tcgcsv.com/3nB7,2026-06-05T04:10:28.543,1,2.0,2.15,2.2,2.0,,Normal,Common,SBA022,Action,Attack,Runeblade,,,3,0,1,4,Elemental
695903,Sigil of Suffering (Red),Sigil of Suffering Red,https://tcgplayer-cdn.tcgplayer.com/product/695903_200w.jpg,62,24706,https://cpt.tcgcsv.com/5nB7,2026-06-05T04:10:28.543,1,1.5,1.5,1.5,1.09,,Normal,Rare,SBA023,Defense Reaction,,Runeblade,,,3,0,1,,
695904,Nimblism (Red),Nimblism Red,https://tcgplayer-cdn.tcgplayer.com/product/695904_200w.jpg,62,24706,https://cpt.tcgcsv.com/6nB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.2,,Normal,Common,SBA026,Action,,Generic,,,2,0,1,,
695905,Sizzle (Red),Sizzle Red,https://tcgplayer-cdn.tcgplayer.com/product/695905_200w.jpg,62,24706,https://cpt.tcgcsv.com/7nB7,2026-06-05T04:10:28.543,1,3.0,3.0,3.0,3.0,,Normal,Rare,SBA027,Action,,,,,2,0,1,,Lightning
695906,Sprout Strength (Red),Sprout Strength Red,https://tcgplayer-cdn.tcgplayer.com/product/695906_200w.jpg,62,24706,https://cpt.tcgcsv.com/8nB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.25,,Normal,Common,SBA028,Action,,,,,2,0,1,,Earth
695907,Weave Lightning (Red),Weave Lightning Red,https://tcgplayer-cdn.tcgplayer.com/product/695907_200w.jpg,62,24706,https://cpt.tcgcsv.com/9nB7,2026-06-05T04:10:28.543,1,0.3,0.35,0.35,0.35,,Normal,Rare,SBA029,Action,,,,,2,0,1,,Lightning
695908,Arcane Polarity (Red) (SBA030),Arcane Polarity Red SBA030,https://tcgplayer-cdn.tcgplayer.com/product/695908_200w.jpg,62,24706,https://cpt.tcgcsv.com/bnB7,2026-06-05T04:10:28.543,1,3.25,3.63,4.0,3.25,,Normal,Common,SBA030,Instant,,Generic,,,,0,1,,
695909,Cloud Cover (Red),Cloud Cover Red,https://tcgplayer-cdn.tcgplayer.com/product/695909_200w.jpg,62,24706,https://cpt.tcgcsv.com/cnB7,2026-06-05T04:10:28.543,1,0.25,0.25,0.25,0.25,,Normal,Common,SBA031,Instant,,,,,,,1,,Lightning
695910,Lightning Press (Red),Lightning Press Red,https://tcgplayer-cdn.tcgplayer.com/product/695910_200w.jpg,62,24706,https://cpt.tcgcsv.com/dnB7,2026-06-05T04:10:28.543,1,1.25,1.25,1.25,1.16,,Normal,Rare,SBA032,Instant,,,,,,0,1,,Lightning
695911,Nimblism (Yellow),Nimblism Yellow,https://tcgplayer-cdn.tcgplayer.com/product/695911_200w.jpg,62,24706,https://cpt.tcgcsv.com/fnB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.2,,Normal,Common,SBA033,Action,,Generic,,,2,0,2,,
695912,Embodiment of Earth,Embodiment of Earth,https://tcgplayer-cdn.tcgplayer.com/product/695912_200w.jpg,62,24706,https://cpt.tcgcsv.com/gnB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,,,Normal,Basic,SBA034,Token,Aura,,,,,,,,Elemental
695913,Embodiment of Lightning,Embodiment of Lightning,https://tcgplayer-cdn.tcgplayer.com/product/695913_200w.jpg,62,24706,https://cpt.tcgcsv.com/hnB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,,,Normal,Basic,SBA035,Token,Aura,,,,,,,,Elemental
695914,Runechant,Runechant,https://tcgplayer-cdn.tcgplayer.com/product/695914_200w.jpg,62,24706,https://cpt.tcgcsv.com/jnB7,2026-06-05T04:10:28.543,1,0.2,0.23,0.25,0.25,,Normal,Basic,SBA036,Token,Aura,Runeblade,,,,,,,
695915,Boltyn,Boltyn,https://tcgplayer-cdn.tcgplayer.com/product/695915_200w.jpg,62,24706,https://cpt.tcgcsv.com/knB7,2026-06-05T04:10:28.543,1,0.5,0.88,1.25,,,Normal,Rare,SBL001,Hero,Young,Warrior,,,,,,,
695916,"Raydn, Duskbane",Raydn Duskbane,https://tcgplayer-cdn.tcgplayer.com/product/695916_200w.jpg,62,24706,https://cpt.tcgcsv.com/lnB7,2026-06-05T04:10:28.543,1,1.0,1.95,2.0,,,Normal,Rare,SBL002,Weapon,Sword (2H),Warrior,,,,,,0,
695917,Halo of Illumination,Halo of Illumination,https://tcgplayer-cdn.tcgplayer.com/product/695917_200w.jpg,62,24706,https://cpt.tcgcsv.com/mnB7,2026-06-05T04:10:28.543,1,0.2,0.2,0.25,,,Normal,Common,SBL003,Equipment,Head,,,,0,,,,Light
695918,Helm of Unity,Helm of Unity,https://tcgplayer-cdn.tcgplayer.com/product/695918_200w.jpg,62,24706,https://cpt.tcgcsv.com/nnB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.25,,Normal,Rare,SBL004,Equipment,Head,Warrior,,,1,,,,
695919,Garland of Spring,Garland of Spring,https://tcgplayer-cdn.tcgplayer.com/product/695919_200w.jpg,62,24706,https://cpt.tcgcsv.com/pnB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,0.25,,Normal,Common,SBL005,Equipment,Chest,Generic,,,0,,,,
695920,Nullrune Robe (SBL006),Nullrune Robe SBL006,https://tcgplayer-cdn.tcgplayer.com/product/695920_200w.jpg,62,24706,https://cpt.tcgcsv.com/qnB7,2026-06-05T04:10:28.543,1,0.95,1.0,1.0,,,Normal,Common,SBL006,Equipment,Chest,Generic,,,0,,,,
695921,Gauntlets of Unity,Gauntlets of Unity,https://tcgplayer-cdn.tcgplayer.com/product/695921_200w.jpg,62,24706,https://cpt.tcgcsv.com/rnB7,2026-06-05T04:10:28.543,1,0.2,0.25,0.25,,,Normal,Rare,SBL007,Equipment,Arms,Warrior,,,1,,,,
695922,Radiant Touch,Radiant Touch,https://tcgplayer-cdn.tcgplayer.com/product/695922_200w.jpg,62,24706,https://cpt.tcgcsv.com/snB7,2026-06-05T04:10:28.543,1,0.2,0.2,0.25,,,Normal,Common,SBL008,Equipment,Arms,,,,,,,,Light
695923,Flat Trackers,Flat Trackers,https://tcgplayer-cdn.tcgplayer.com/product/695923_200w.jpg,62,24706,https://cpt.tcgcsv.com/tnB7,2026-06-05T04:10:28.543,1,0.2,0.2,0.25,,,Normal,Common,SBL009,Equipment,Legs,Warrior,,,1,,,,
695924,Nullrune Boots,Nullrune Boots,https://tcgplayer-cdn.tcgplayer.com/product/695924_200w.jpg,62,24706,https://cpt.tcgcsv.com/vnB7,2026-06-05T04:10:28.543,1,1.5,1.95,1.99,1.5,,Normal,Common,SBL010,Equipment,Legs,Generic,,,0,,,,
695925,Beaming Bravado (Red),Beaming Bravado Red,https://tcgplayer-cdn.tcgplayer.com/product/695925_200w.jpg,62,24706,https://cpt.tcgcsv.com/wnB7,2026-06-05T04:10:28.543,1,0.1,0.18,0.25,,,Normal,Common,SBL011,Action,Attack,Warrior,,,3,0,1,3,
695926,Bolt of Courage (Red),Bolt of Courage Red,https://tcgplayer-cdn.tcgplayer.com/product/695926_200w.jpg,62,24706,https://cpt.tcgcsv.com/xnB7,2026-06-05T04:10:28.543,1,0.1,0.18,0.25,,,Normal,Common,SBL012,Action,Attack,Warrior,,,3,0,1,3,
695927,Duty Bound Blitz (Red),Duty Bound Blitz Red,https://tcgplayer-cdn.tcgplayer.com/product/695927_200w.jpg,62,24706,https://cpt.tcgcsv.com/znB7,2026-06-05T04:10:28.543,1,0.2,0.2,0.25,,,Normal,Common,SBL013,Action,Attack,,,,2,0,1,5,Light
