productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extPitchValue,extCardSubType,extPower,extDefenseValue,extFlavorText
653292,Gauntlets of Tyrannical Rex,Gauntlets of Tyrannical Rex,https://tcgplayer-cdn.tcgplayer.com/product/653292_200w.jpg,62,24371,https://cpt.tcgcsv.com/Skf7,2025-09-26T04:11:04.067,1,Legendary,SUP125,Equipment,Brute,,,,35.0,54.34,93.02,39.72,,Rainbow Foil,,,Arms,,2,
653292,Gauntlets of Tyrannical Rex,Gauntlets of Tyrannical Rex,https://tcgplayer-cdn.tcgplayer.com/product/653292_200w.jpg,62,24371,https://cpt.tcgcsv.com/Skf7,2025-09-26T04:11:04.067,1,Legendary,SUP125,Equipment,Brute,,,,58.7,70.9,149.99,64.36,,Cold Foil,,,Arms,,2,
653293,Reckless Stampede,Reckless Stampede,https://tcgplayer-cdn.tcgplayer.com/product/653293_200w.jpg,62,24371,https://cpt.tcgcsv.com/Tkf7,2025-09-26T04:11:04.067,1,Majestic,SUP127,Action,Brute,,,,1.84,3.05,15.0,2.87,,Normal,2,1,Attack,7,0,
653293,Reckless Stampede,Reckless Stampede,https://tcgplayer-cdn.tcgplayer.com/product/653293_200w.jpg,62,24371,https://cpt.tcgcsv.com/Tkf7,2025-09-26T04:11:04.067,1,Majestic,SUP127,Action,Brute,,,,4.0,5.87,25.5,5.26,,Rainbow Foil,2,1,Attack,7,0,
653294,Challenge the Alpha,Challenge the Alpha,https://tcgplayer-cdn.tcgplayer.com/product/653294_200w.jpg,62,24371,https://cpt.tcgcsv.com/Vkf7,2025-09-26T04:11:04.067,1,Super Rare,SUP129,Action,Brute,,,,0.01,0.5,12.0,0.47,,Normal,3,2,Attack,6,3,
653294,Challenge the Alpha,Challenge the Alpha,https://tcgplayer-cdn.tcgplayer.com/product/653294_200w.jpg,62,24371,https://cpt.tcgcsv.com/Vkf7,2025-09-26T04:11:04.067,1,Super Rare,SUP129,Action,Brute,,,,0.19,0.85,19.99,0.58,,Rainbow Foil,3,2,Attack,6,3,
653295,Steal Victory,Steal Victory,https://tcgplayer-cdn.tcgplayer.com/product/653295_200w.jpg,62,24371,https://cpt.tcgcsv.com/Wkf7,2025-09-26T04:11:04.067,1,Super Rare,SUP069,Block,Brute,Reviled,,,0.23,0.46,5.28,0.42,,Rainbow Foil,,3,,,3,"<em>""As the old Chanek saying goes, the battle should be won before the fighters take to the field."" —Fightmaster Kox</em>"
653295,Steal Victory,Steal Victory,https://tcgplayer-cdn.tcgplayer.com/product/653295_200w.jpg,62,24371,https://cpt.tcgcsv.com/Wkf7,2025-09-26T04:11:04.067,1,Super Rare,SUP069,Block,Brute,Reviled,,,0.08,0.3,12.0,0.19,,Normal,,3,,,3,"<em>""As the old Chanek saying goes, the battle should be won before the fighters take to the field."" —Fightmaster Kox</em>"
653296,Smashing Ground,Smashing Ground,https://tcgplayer-cdn.tcgplayer.com/product/653296_200w.jpg,62,24371,https://cpt.tcgcsv.com/Xkf7,2025-09-26T04:11:04.067,1,Super Rare,SUP132,Action,Brute,,,,0.74,1.61,49.99,1.52,,Rainbow Foil,3,3,Attack,5,3,
653296,Smashing Ground,Smashing Ground,https://tcgplayer-cdn.tcgplayer.com/product/653296_200w.jpg,62,24371,https://cpt.tcgcsv.com/Xkf7,2025-09-26T04:11:04.067,1,Super Rare,SUP132,Action,Brute,,,,0.01,0.99,16.99,0.86,,Normal,3,3,Attack,5,3,
653297,"Battered, Beaten, and Broken",Battered Beaten and Broken,https://tcgplayer-cdn.tcgplayer.com/product/653297_200w.jpg,62,24371,https://cpt.tcgcsv.com/Zkf7,2025-09-26T04:11:04.067,1,Super Rare,SUP083,Action,Brute,Reviled,,,0.45,1.49,12.0,1.3,,Normal,0,2,Attack,1,3,
653297,"Battered, Beaten, and Broken",Battered Beaten and Broken,https://tcgplayer-cdn.tcgplayer.com/product/653297_200w.jpg,62,24371,https://cpt.tcgcsv.com/Zkf7,2025-09-26T04:11:04.067,1,Super Rare,SUP083,Action,Brute,Reviled,,,0.82,2.0,19.99,1.27,,Rainbow Foil,0,2,Attack,1,3,
653298,Escalate Violence,Escalate Violence,https://tcgplayer-cdn.tcgplayer.com/product/653298_200w.jpg,62,24371,https://cpt.tcgcsv.com/-kf7,2025-09-26T04:11:04.067,1,Super Rare,SUP084,Action,Brute,Reviled,,,0.7,1.49,29.99,1.18,,Rainbow Foil,1,3,Attack,3,3,
653298,Escalate Violence,Escalate Violence,https://tcgplayer-cdn.tcgplayer.com/product/653298_200w.jpg,62,24371,https://cpt.tcgcsv.com/-kf7,2025-09-26T04:11:04.067,1,Super Rare,SUP084,Action,Brute,Reviled,,,0.83,1.63,12.0,1.33,,Normal,1,3,Attack,3,3,
653299,Concealed Object,Concealed Object,https://tcgplayer-cdn.tcgplayer.com/product/653299_200w.jpg,62,24371,https://cpt.tcgcsv.com/_kf7,2025-09-26T04:11:04.067,1,Rare,SUP097,Instant,Brute,Reviled,,,0.04,0.25,3.0,0.2,,Normal,0,3,Item,,,
653299,Concealed Object,Concealed Object,https://tcgplayer-cdn.tcgplayer.com/product/653299_200w.jpg,62,24371,https://cpt.tcgcsv.com/_kf7,2025-09-26T04:11:04.067,1,Rare,SUP097,Instant,Brute,Reviled,,,3.7,9.95,9.99,3.81,,Cold Foil,0,3,Item,,,
653300,Low Blow,Low Blow,https://tcgplayer-cdn.tcgplayer.com/product/653300_200w.jpg,62,24371,https://cpt.tcgcsv.com/0lf7,2025-09-26T04:11:04.067,1,Common,SUP110,Action,Brute,Reviled,,,0.1,0.3,4.99,0.33,,Rainbow Foil,1,1,Attack,3,,
