productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extDefenseValue,extCost,extPitchValue,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower
678566,Cut Through The Facade (Red) (ANQ013),Cut Through The Facade Red ANQ013,https://tcgplayer-cdn.tcgplayer.com/product/678566_200w.jpg,62,24533,https://cpt.tcgcsv.com/lrr7,2026-02-13T21:24:55.297,1,Gold,ANQ013,Action,Attack,Generic,2,3,1,30.0,38.48,100.0,38.48,,Cold Foil,7
678567,Ripple Away (Blue) (ANQ014),Ripple Away Blue ANQ014,https://tcgplayer-cdn.tcgplayer.com/product/678567_200w.jpg,62,24533,https://cpt.tcgcsv.com/mrr7,2026-02-13T21:27:14.007,1,Gold,ANQ014,Action,Attack,Generic,3,2,3,34.91,39.0,49.99,37.28,,Normal,4
678567,Ripple Away (Blue) (ANQ014),Ripple Away Blue ANQ014,https://tcgplayer-cdn.tcgplayer.com/product/678567_200w.jpg,62,24533,https://cpt.tcgcsv.com/mrr7,2026-02-13T21:27:14.007,1,Gold,ANQ014,Action,Attack,Generic,3,2,3,134.68,135.99,149.99,93.78,,Cold Foil,4
678568,Tenacity (Yellow) (ANQ015),Tenacity Yellow ANQ015,https://tcgplayer-cdn.tcgplayer.com/product/678568_200w.jpg,62,24533,https://cpt.tcgcsv.com/nrr7,2026-02-13T21:28:38.327,1,Gold,ANQ015,Action,Attack,Generic,3,,2,20.99,24.37,50.0,26.35,,Cold Foil,2
678568,Tenacity (Yellow) (ANQ015),Tenacity Yellow ANQ015,https://tcgplayer-cdn.tcgplayer.com/product/678568_200w.jpg,62,24533,https://cpt.tcgcsv.com/nrr7,2026-02-13T21:28:38.327,1,Gold,ANQ015,Action,Attack,Generic,3,,2,1.4,2.0,7.0,1.85,,Normal,2
678569,The Weakest Link (Red) (ANQ016),The Weakest Link Red ANQ016,https://tcgplayer-cdn.tcgplayer.com/product/678569_200w.jpg,62,24533,https://cpt.tcgcsv.com/prr7,2026-02-13T21:30:38.143,1,Gold,ANQ016,Action,Attack,Generic,3,2,1,80.99,93.0,199.69,86.71,,Cold Foil,6
678569,The Weakest Link (Red) (ANQ016),The Weakest Link Red ANQ016,https://tcgplayer-cdn.tcgplayer.com/product/678569_200w.jpg,62,24533,https://cpt.tcgcsv.com/prr7,2026-02-13T21:30:38.143,1,Gold,ANQ016,Action,Attack,Generic,3,2,1,22.39,26.3,42.49,24.21,,Normal,6
678570,Hold The Line (Blue) (ANQ017),Hold The Line Blue ANQ017,https://tcgplayer-cdn.tcgplayer.com/product/678570_200w.jpg,62,24533,https://cpt.tcgcsv.com/qrr7,2026-02-13T21:34:13.683,1,Gold,ANQ017,Defense Reaction,,Generic,2,,3,42.0,56.5,75.0,50.0,,Cold Foil,
678570,Hold The Line (Blue) (ANQ017),Hold The Line Blue ANQ017,https://tcgplayer-cdn.tcgplayer.com/product/678570_200w.jpg,62,24533,https://cpt.tcgcsv.com/qrr7,2026-02-13T21:34:13.683,1,Gold,ANQ017,Defense Reaction,,Generic,2,,3,0.75,2.5,29.99,2.3,,Normal,
678571,That All You Got (Yellow) (ANQ018),That All You Got Yellow ANQ018,https://tcgplayer-cdn.tcgplayer.com/product/678571_200w.jpg,62,24533,https://cpt.tcgcsv.com/rrr7,2026-02-17T16:13:52.407,1,Gold,ANQ018,Defense Reaction,,Generic,3,,2,3.32,4.0,15.49,3.85,,Normal,
678571,That All You Got (Yellow) (ANQ018),That All You Got Yellow ANQ018,https://tcgplayer-cdn.tcgplayer.com/product/678571_200w.jpg,62,24533,https://cpt.tcgcsv.com/rrr7,2026-02-17T16:13:52.407,1,Gold,ANQ018,Defense Reaction,,Generic,3,,2,30.0,40.5,138.0,45.86,,Cold Foil,
678572,Call To The Grave (Blue) (ANQ019),Call To The Grave Blue ANQ019,https://tcgplayer-cdn.tcgplayer.com/product/678572_200w.jpg,62,24533,https://cpt.tcgcsv.com/srr7,2026-02-17T16:11:16.423,1,Gold,ANQ019,Action,,Generic,2,,3,5.82,7.2,20.0,6.55,,Normal,
678572,Call To The Grave (Blue) (ANQ019),Call To The Grave Blue ANQ019,https://tcgplayer-cdn.tcgplayer.com/product/678572_200w.jpg,62,24533,https://cpt.tcgcsv.com/srr7,2026-02-17T16:11:16.423,1,Gold,ANQ019,Action,,Generic,2,,3,40.0,49.72,105.0,47.81,,Cold Foil,
678573,Gorganian Tome (ANQ020),Gorganian Tome ANQ020,https://tcgplayer-cdn.tcgplayer.com/product/678573_200w.jpg,62,24533,https://cpt.tcgcsv.com/trr7,2026-02-20T21:14:15.3,1,Gold,ANQ020,Action,,Generic,,,,0.99,2.69,20.0,2.69,,Normal,
678573,Gorganian Tome (ANQ020),Gorganian Tome ANQ020,https://tcgplayer-cdn.tcgplayer.com/product/678573_200w.jpg,62,24533,https://cpt.tcgcsv.com/trr7,2026-02-20T21:14:15.3,1,Gold,ANQ020,Action,,Generic,,,,49.99,69.2,89.99,75.32,,Cold Foil,
678574,Midas Touch (Yellow) (ANQ021),Midas Touch Yellow ANQ021,https://tcgplayer-cdn.tcgplayer.com/product/678574_200w.jpg,62,24533,https://cpt.tcgcsv.com/vrr7,2026-02-18T15:32:10.41,1,Gold,ANQ021,Action,,Generic,3,1,2,7.99,10.0,16.99,9.32,,Normal,
678574,Midas Touch (Yellow) (ANQ021),Midas Touch Yellow ANQ021,https://tcgplayer-cdn.tcgplayer.com/product/678574_200w.jpg,62,24533,https://cpt.tcgcsv.com/vrr7,2026-02-18T15:32:10.41,1,Gold,ANQ021,Action,,Generic,3,1,2,30.0,44.54,100.0,43.94,,Cold Foil,
678575,Premeditate (Red) (ANQ022),Premeditate Red ANQ022,https://tcgplayer-cdn.tcgplayer.com/product/678575_200w.jpg,62,24533,https://cpt.tcgcsv.com/wrr7,2026-02-17T16:08:52.627,1,Gold,ANQ022,Action,,Generic,2,,1,6.0,8.99,20.0,6.09,,Normal,
678575,Premeditate (Red) (ANQ022),Premeditate Red ANQ022,https://tcgplayer-cdn.tcgplayer.com/product/678575_200w.jpg,62,24533,https://cpt.tcgcsv.com/wrr7,2026-02-17T16:08:52.627,1,Gold,ANQ022,Action,,Generic,2,,1,62.91,63.99,69.82,62.91,,Cold Foil,
678576,Rusted Relic (Blue) (ANQ023),Rusted Relic Blue ANQ023,https://tcgplayer-cdn.tcgplayer.com/product/678576_200w.jpg,62,24533,https://cpt.tcgcsv.com/xrr7,2026-02-17T16:05:55.903,1,Gold,ANQ023,Action,Item,Generic,,,3,5.71,9.03,25.95,9.03,,Cold Foil,
678576,Rusted Relic (Blue) (ANQ023),Rusted Relic Blue ANQ023,https://tcgplayer-cdn.tcgplayer.com/product/678576_200w.jpg,62,24533,https://cpt.tcgcsv.com/xrr7,2026-02-17T16:05:55.903,1,Gold,ANQ023,Action,Item,Generic,,,3,0.1,0.6,5.0,0.55,,Normal,
678577,This Round's On Me (Blue) (ANQ024),This Rounds On Me Blue ANQ024,https://tcgplayer-cdn.tcgplayer.com/product/678577_200w.jpg,62,24533,https://cpt.tcgcsv.com/zrr7,2026-02-17T16:02:13.377,1,Gold,ANQ024,Action,,Generic,3,1,3,17.67,21.88,75.0,28.05,,Cold Foil,
678577,This Round's On Me (Blue) (ANQ024),This Rounds On Me Blue ANQ024,https://tcgplayer-cdn.tcgplayer.com/product/678577_200w.jpg,62,24533,https://cpt.tcgcsv.com/zrr7,2026-02-17T16:02:13.377,1,Gold,ANQ024,Action,,Generic,3,1,3,1.29,2.02,10.0,1.58,,Normal,
678578,Truce (Blue) (ANQ025),Truce Blue ANQ025,https://tcgplayer-cdn.tcgplayer.com/product/678578_200w.jpg,62,24533,https://cpt.tcgcsv.com/Brr7,2026-02-17T15:59:50.947,1,Gold,ANQ025,Action,Aura,Generic,3,2,3,19.8,23.0,83.49,25.23,,Cold Foil,
678578,Truce (Blue) (ANQ025),Truce Blue ANQ025,https://tcgplayer-cdn.tcgplayer.com/product/678578_200w.jpg,62,24533,https://cpt.tcgcsv.com/Brr7,2026-02-17T15:59:50.947,1,Gold,ANQ025,Action,Aura,Generic,3,2,3,3.0,4.5,20.0,3.5,,Normal,
678579,Remembrance (Yellow) (ANQ026),Remembrance Yellow ANQ026,https://tcgplayer-cdn.tcgplayer.com/product/678579_200w.jpg,62,24533,https://cpt.tcgcsv.com/Crr7,2026-02-18T15:29:31.303,1,Gold,ANQ026,Instant,,Generic,,,2,88.5,91.99,99.29,99.29,,Cold Foil,
678579,Remembrance (Yellow) (ANQ026),Remembrance Yellow ANQ026,https://tcgplayer-cdn.tcgplayer.com/product/678579_200w.jpg,62,24533,https://cpt.tcgcsv.com/Crr7,2026-02-18T15:29:31.303,1,Gold,ANQ026,Instant,,Generic,,,2,16.3,17.89,20.99,17.18,,Normal,
678580,Seduce Secrets (Yellow) (ANQ027),Seduce Secrets Yellow ANQ027,https://tcgplayer-cdn.tcgplayer.com/product/678580_200w.jpg,62,24533,https://cpt.tcgcsv.com/Drr7,2026-02-17T15:57:22.533,1,Gold,ANQ027,Instant,,Generic,,,2,1.36,1.71,10.0,1.7,,Normal,
678580,Seduce Secrets (Yellow) (ANQ027),Seduce Secrets Yellow ANQ027,https://tcgplayer-cdn.tcgplayer.com/product/678580_200w.jpg,62,24533,https://cpt.tcgcsv.com/Drr7,2026-02-17T15:57:22.533,1,Gold,ANQ027,Instant,,Generic,,,2,22.0,26.09,34.23,29.29,,Cold Foil,
