productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extTalent,extCost,extPitchValue,extDefenseValue,extPower,extFlavorText
612626,Hunt a Killer (Yellow),Hunt a Killer Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612626_200w.jpg,62,23815,https://cpt.tcgcsv.com/x3W6,2025-01-31T05:10:13.37,1,0.1,0.25,5.0,,,Rainbow Foil,Common,HNT132,Action,Warrior,,,,,1,2,3,,
612627,Hunt a Killer (Blue),Hunt a Killer Blue,https://tcgplayer-cdn.tcgplayer.com/product/612627_200w.jpg,62,23815,https://cpt.tcgcsv.com/z3W6,2025-01-31T05:10:13.37,1,0.1,0.35,5.0,,,Rainbow Foil,Common,HNT133,Action,Warrior,,,,,1,3,3,,
612627,Hunt a Killer (Blue),Hunt a Killer Blue,https://tcgplayer-cdn.tcgplayer.com/product/612627_200w.jpg,62,23815,https://cpt.tcgcsv.com/z3W6,2025-01-31T05:10:13.37,1,0.01,0.15,1.41,0.04,,Normal,Common,HNT133,Action,Warrior,,,,,1,3,3,,
612628,Knife through Butter (Red),Knife through Butter Red,https://tcgplayer-cdn.tcgplayer.com/product/612628_200w.jpg,62,23815,https://cpt.tcgcsv.com/B3W6,2025-01-31T05:10:13.37,1,0.03,0.2,1.0,0.13,,Normal,Common,HNT134,Action,Warrior,,,,,1,1,3,,
612628,Knife through Butter (Red),Knife through Butter Red,https://tcgplayer-cdn.tcgplayer.com/product/612628_200w.jpg,62,23815,https://cpt.tcgcsv.com/B3W6,2025-01-31T05:10:13.37,1,0.1,0.25,5.0,0.21,,Rainbow Foil,Common,HNT134,Action,Warrior,,,,,1,1,3,,
612629,Knife through Butter (Yellow),Knife through Butter Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612629_200w.jpg,62,23815,https://cpt.tcgcsv.com/C3W6,2025-01-31T05:10:13.37,1,0.1,0.25,5.0,0.24,,Rainbow Foil,Common,HNT135,Action,Warrior,,,,,1,2,3,,
612629,Knife through Butter (Yellow),Knife through Butter Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612629_200w.jpg,62,23815,https://cpt.tcgcsv.com/C3W6,2025-01-31T05:10:13.37,1,0.01,0.15,1.0,0.05,,Normal,Common,HNT135,Action,Warrior,,,,,1,2,3,,
612630,Knife through Butter (Blue),Knife through Butter Blue,https://tcgplayer-cdn.tcgplayer.com/product/612630_200w.jpg,62,23815,https://cpt.tcgcsv.com/D3W6,2025-01-31T05:10:13.37,1,0.03,0.16,1.0,0.04,,Normal,Common,HNT136,Action,Warrior,,,,,1,3,3,,
612630,Knife through Butter (Blue),Knife through Butter Blue,https://tcgplayer-cdn.tcgplayer.com/product/612630_200w.jpg,62,23815,https://cpt.tcgcsv.com/D3W6,2025-01-31T05:10:13.37,1,0.1,0.25,5.0,0.25,,Rainbow Foil,Common,HNT136,Action,Warrior,,,,,1,3,3,,
612631,Point of Engagement (Red),Point of Engagement Red,https://tcgplayer-cdn.tcgplayer.com/product/612631_200w.jpg,62,23815,https://cpt.tcgcsv.com/F3W6,2025-01-31T05:10:13.37,1,0.01,0.2,1.39,0.03,,Normal,Common,HNT137,Action,Warrior,,,,,0,1,3,,
612631,Point of Engagement (Red),Point of Engagement Red,https://tcgplayer-cdn.tcgplayer.com/product/612631_200w.jpg,62,23815,https://cpt.tcgcsv.com/F3W6,2025-01-31T05:10:13.37,1,0.12,0.25,5.0,0.15,,Rainbow Foil,Common,HNT137,Action,Warrior,,,,,0,1,3,,
612632,Point of Engagement (Yellow),Point of Engagement Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612632_200w.jpg,62,23815,https://cpt.tcgcsv.com/G3W6,2025-01-31T05:10:13.37,1,0.1,0.25,5.0,0.24,,Rainbow Foil,Common,HNT138,Action,Warrior,,,,,0,2,3,,
612632,Point of Engagement (Yellow),Point of Engagement Yellow,https://tcgplayer-cdn.tcgplayer.com/product/612632_200w.jpg,62,23815,https://cpt.tcgcsv.com/G3W6,2025-01-31T05:10:13.37,1,0.01,0.15,1.0,0.08,,Normal,Common,HNT138,Action,Warrior,,,,,0,2,3,,
612633,Point of Engagement (Blue),Point of Engagement Blue,https://tcgplayer-cdn.tcgplayer.com/product/612633_200w.jpg,62,23815,https://cpt.tcgcsv.com/H3W6,2025-01-31T05:10:13.37,1,0.05,0.2,1.46,0.15,,Normal,Common,HNT139,Action,Warrior,,,,,0,3,3,,
612633,Point of Engagement (Blue),Point of Engagement Blue,https://tcgplayer-cdn.tcgplayer.com/product/612633_200w.jpg,62,23815,https://cpt.tcgcsv.com/H3W6,2025-01-31T05:10:13.37,1,0.05,0.25,5.0,0.24,,Rainbow Foil,Common,HNT139,Action,Warrior,,,,,0,3,3,,
612634,Vow of Vengeance,Vow of Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/612634_200w.jpg,62,23815,https://cpt.tcgcsv.com/J3W6,2025-01-31T05:10:13.37,1,0.01,0.15,1.39,0.07,,Normal,Common,HNT144,Equipment,,,,Head,Draconic,,,1,,
612634,Vow of Vengeance,Vow of Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/612634_200w.jpg,62,23815,https://cpt.tcgcsv.com/J3W6,2025-01-31T05:10:13.37,1,0.23,0.5,9.99,0.33,,Cold Foil,Common,HNT144,Equipment,,,,Head,Draconic,,,1,,
612635,Heart of Vengeance,Heart of Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/612635_200w.jpg,62,23815,https://cpt.tcgcsv.com/K3W6,2025-01-31T05:10:13.37,1,0.26,0.5,9.95,0.37,,Cold Foil,Common,HNT145,Equipment,,,,Chest,Draconic,,,1,,
612635,Heart of Vengeance,Heart of Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/612635_200w.jpg,62,23815,https://cpt.tcgcsv.com/K3W6,2025-01-31T05:10:13.37,1,0.01,0.15,0.75,0.04,,Normal,Common,HNT145,Equipment,,,,Chest,Draconic,,,1,,
612636,Hand of Vengeance,Hand of Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/612636_200w.jpg,62,23815,https://cpt.tcgcsv.com/L3W6,2025-01-31T05:10:13.37,1,0.01,0.15,1.0,0.04,,Normal,Common,HNT146,Equipment,,,,Arms,Draconic,,,1,,
612636,Hand of Vengeance,Hand of Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/612636_200w.jpg,62,23815,https://cpt.tcgcsv.com/L3W6,2025-01-31T05:10:13.37,1,0.15,0.5,9.99,0.33,,Cold Foil,Common,HNT146,Equipment,,,,Arms,Draconic,,,1,,
612637,Path of Vengeance,Path of Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/612637_200w.jpg,62,23815,https://cpt.tcgcsv.com/M3W6,2025-01-31T05:10:13.37,1,0.19,0.54,9.99,0.36,,Cold Foil,Common,HNT147,Equipment,,,,Legs,Draconic,,,1,,
612637,Path of Vengeance,Path of Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/612637_200w.jpg,62,23815,https://cpt.tcgcsv.com/M3W6,2025-01-31T05:10:13.37,1,0.01,0.15,1.0,0.04,,Normal,Common,HNT147,Equipment,,,,Legs,Draconic,,,1,,
612638,Coat of Allegiance,Coat of Allegiance,https://tcgplayer-cdn.tcgplayer.com/product/612638_200w.jpg,62,23815,https://cpt.tcgcsv.com/N3W6,2025-01-31T05:10:13.37,1,0.01,0.15,1.0,0.06,,Normal,Common,HNT148,Equipment,,,,Chest,Draconic,,,0,,
