productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extPower,extDefenseValue,extCost,extPitchValue
561933,Thrive,Thrive,https://tcgplayer-cdn.tcgplayer.com/product/561933_200w.jpg,62,23548,https://cpt.tcgcsv.com/HNv6,2024-08-23T04:08:14.833,1,0.15,0.36,4.95,0.28,,Normal,Majestic,TER019,Action,,,Earth,,,,2,0,2
561934,Sigil of Shelter (Yellow),Sigil of Shelter Yellow,https://tcgplayer-cdn.tcgplayer.com/product/561934_200w.jpg,62,23548,https://cpt.tcgcsv.com/JNv6,2024-08-23T04:08:14.833,1,0.24,0.25,2.49,0.25,,Normal,Common,TER020,Instant,,Guardian,,,,,,0,2
561935,Autumn's Touch (Blue),Autumns Touch Blue,https://tcgplayer-cdn.tcgplayer.com/product/561935_200w.jpg,62,23548,https://cpt.tcgcsv.com/KNv6,2024-08-23T04:08:14.833,1,0.13,0.15,2.49,0.15,,Normal,Common,TER021,Action,Attack,,Earth,,,5,3,3,3
561936,Burgeoning (Blue),Burgeoning Blue,https://tcgplayer-cdn.tcgplayer.com/product/561936_200w.jpg,62,23548,https://cpt.tcgcsv.com/LNv6,2024-08-23T04:08:14.833,1,0.09,0.18,2.49,,,Normal,Common,TER022,Action,Attack,,Earth,,,4,2,2,3
561937,Concuss (Blue),Concuss Blue,https://tcgplayer-cdn.tcgplayer.com/product/561937_200w.jpg,62,23548,https://cpt.tcgcsv.com/MNv6,2024-08-23T04:08:14.833,1,0.04,0.25,2.49,0.19,,Normal,Common,TER023,Action,Attack,Guardian,,,,4,3,3,3
561938,Flourish (Blue),Flourish Blue,https://tcgplayer-cdn.tcgplayer.com/product/561938_200w.jpg,62,23548,https://cpt.tcgcsv.com/NNv6,2024-08-23T04:08:14.833,1,1.79,2.7,5.33,1.98,,Normal,Rare,TER024,Action,,,Earth,,,,2,0,3
561939,Seeds of Strength (Blue),Seeds of Strength Blue,https://tcgplayer-cdn.tcgplayer.com/product/561939_200w.jpg,62,23548,https://cpt.tcgcsv.com/PNv6,2024-12-11T20:25:23.04,1,0.24,0.25,2.49,0.25,,Normal,Common,TER025,Action,,Guardian,Elemental,,,,3,2,3
561940,Sigil of Shelter (Blue),Sigil of Shelter Blue,https://tcgplayer-cdn.tcgplayer.com/product/561940_200w.jpg,62,23548,https://cpt.tcgcsv.com/QNv6,2024-08-23T04:08:14.833,1,0.14,0.25,2.49,0.15,,Normal,Common,TER026,Instant,,Guardian,,,,,,0,3
561941,Canopy Shelter (Blue),Canopy Shelter Blue,https://tcgplayer-cdn.tcgplayer.com/product/561941_200w.jpg,62,23548,https://cpt.tcgcsv.com/RNv6,2024-08-23T04:08:14.833,1,5.22,7.42,10.0,6.4,,Normal,Rare,TER027,Block,,,Earth,,,,2,,3
561942,Might,Might,https://tcgplayer-cdn.tcgplayer.com/product/561942_200w.jpg,62,23548,https://cpt.tcgcsv.com/SNv6,2024-08-23T04:08:14.833,1,0.24,0.49,2.49,0.32,,Normal,Common,TER028,Token,Aura,Generic,,,,,,,
561943,Spell Fray Tiara (TER),Spell Fray Tiara TER,https://tcgplayer-cdn.tcgplayer.com/product/561943_200w.jpg,62,23548,https://cpt.tcgcsv.com/TNv6,2024-08-23T04:08:14.833,1,0.18,0.25,2.49,0.25,,Normal,Rare,TER029,Equipment,Head,Generic,,,,,0,,
561944,Spell Fray Leggings (TER),Spell Fray Leggings TER,https://tcgplayer-cdn.tcgplayer.com/product/561944_200w.jpg,62,23548,https://cpt.tcgcsv.com/VNv6,2024-08-23T04:08:14.833,1,0.18,0.25,2.49,0.24,,Normal,Rare,TER030,Equipment,Legs,Generic,,,,,0,,
632113,Cloud City Steamboat (Red),Cloud City Steamboat Red,https://tcgplayer-cdn.tcgplayer.com/product/632113_200w.jpg,62,23548,https://cpt.tcgcsv.com/hS37,2025-06-06T04:10:19.317,0,,,,,,,Rare,SEA015,Action,Attack,Mechanologist,,,,6,3,2,1
632114,Cloud City Steamboat (Yellow),Cloud City Steamboat Yellow,https://tcgplayer-cdn.tcgplayer.com/product/632114_200w.jpg,62,23548,https://cpt.tcgcsv.com/jS37,2025-06-06T04:10:19.317,0,,,,,,,Rare,SEA016,Action,Attack,Mechanologist,,,,5,3,2,2
632115,Cloud City Steamboat (Blue),Cloud City Steamboat Blue,https://tcgplayer-cdn.tcgplayer.com/product/632115_200w.jpg,62,23548,https://cpt.tcgcsv.com/kS37,2025-06-06T04:10:19.317,0,,,,,,,Rare,SEA017,Action,Attack,Mechanologist,,,,4,3,2,3
